rq,dataset,fold,method,required_seed,available_seed,status,expected_artifact_path,command_hint,priority,split_type,reason
RQ2,Quo Vadis,backdoor|ransomware|trojan|coinminer|dropper|keylogger|rat,EsCapturer-full | API n-gram SVM | API2Vec++ | R-GCN,17/27,,pending,datasets_50k/quo_vadis/results/unknown_family/{fold}/{method}/seed_{seed}/metrics.json,Repeat the verified seed-7 fold commands with seeds 17 and 27; keep fold-specific output directories,P3,held-out category/family; group/exact-sequence-disjoint,Three-seed mean and sample standard deviation required for final RQ2 evidence
RQ2,Zenodo 11079764,vobfus|urelas|soltern|vilsel|prepscram|eggnog|vflooder|nevereg|sfone,EsCapturer-full,7,,pending,datasets_50k/zenodo_11079764/results/unknown_family/{fold}/escapturer_full/full/seed_7/metrics.json,escapture/.venv/bin/python experiments/runners/run_escapture_evaluation.py --data datasets_50k/zenodo_11079764/family_disjoint/zenodo_11079764_heldout_{fold}.jsonl.gz --out-dir datasets_50k/zenodo_11079764/results/unknown_family/{fold}/escapturer_full --experiment main --variant full --objective bce --max-units 16 --unit-selection uniform-cover --benign-sampling epoch-resample --seeds 7,P1,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Zenodo 11079764,vobfus|urelas|soltern|vilsel|prepscram|eggnog|vflooder|nevereg|sfone,API n-gram SVM,7,,pending,datasets_50k/zenodo_11079764/results/unknown_family/{fold}/traditional/api_ngram_svm/seed_7/metrics.json,escapture/.venv/bin/python experiments/runners/run_sequence_baselines.py --data datasets_50k/zenodo_11079764/family_disjoint/zenodo_11079764_heldout_{fold}.jsonl.gz --out-dir datasets_50k/zenodo_11079764/results/unknown_family/{fold}/traditional --models api_ngram_svm --seed 7,P1,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Zenodo 11079764,vobfus|urelas|soltern|vilsel|prepscram|eggnog|vflooder|nevereg|sfone,API2Vec++,7,,pending,datasets_50k/zenodo_11079764/results/unknown_family/{fold}/compact_baselines/api2vecpp_metrics.json,escapture/.venv/bin/python experiments/runners/run_compact_baselines.py --data datasets_50k/zenodo_11079764/family_disjoint/zenodo_11079764_heldout_{fold}.jsonl.gz --out-dir datasets_50k/zenodo_11079764/results/unknown_family/{fold}/compact_baselines --max-epochs 30 --patience 5,P2,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Zenodo 11079764,vobfus|urelas|soltern|vilsel|prepscram|eggnog|vflooder|nevereg|sfone,R-GCN,7,,pending,datasets_50k/zenodo_11079764/results/unknown_family/{fold}/graph/rgcn/seed_7/metrics.json,escapture/.venv/bin/python experiments/runners/run_graph_baselines.py --data datasets_50k/zenodo_11079764/family_disjoint/zenodo_11079764_heldout_{fold}.jsonl.gz --out-dir datasets_50k/zenodo_11079764/results/unknown_family/{fold}/graph --models rgcn --seed 7,P2,held-out category/family; group/exact-sequence-disjoint,Protocol folds exist; no trained seed-7 artifact found
RQ2,Zenodo 11079764,vobfus|urelas|soltern|vilsel|prepscram|eggnog|vflooder|nevereg|sfone,EsCapturer-full | API n-gram SVM | API2Vec++ | R-GCN,17/27,,pending,datasets_50k/zenodo_11079764/results/unknown_family/{fold}/{method}/seed_{seed}/metrics.json,Repeat the verified seed-7 fold commands with seeds 17 and 27; keep fold-specific output directories,P3,held-out category/family; group/exact-sequence-disjoint,Three-seed mean and sample standard deviation required for final RQ2 evidence
RQ4,Quo Vadis,insertion|deletion|local_reordering@10|20|30,EsCapturer-full,7,,pending,datasets_50k/quo_vadis/results/robustness_balanced/escapturer_full/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P1,50k balanced clean-train/perturbed-test,No common-protocol robustness artifact or runner found
RQ4,Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,EsCapturer-full,7,,pending,datasets_50k/zenodo_11079764/results/robustness_balanced/escapturer_full/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P1,50k balanced clean-train/perturbed-test,No common-protocol robustness artifact or runner found
RQ4,Quo Vadis,insertion|deletion|local_reordering@10|20|30,API n-gram SVM,7,,pending,datasets_50k/quo_vadis/results/robustness_balanced/api_ngram_svm/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P1,50k balanced clean-train/perturbed-test,No common-protocol robustness artifact or runner found
RQ4,Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,API n-gram SVM,7,,pending,datasets_50k/zenodo_11079764/results/robustness_balanced/api_ngram_svm/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P1,50k balanced clean-train/perturbed-test,No common-protocol robustness artifact or runner found
RQ4,Quo Vadis,insertion|deletion|local_reordering@10|20|30,API2Vec++ or Transformer,7,,pending,datasets_50k/quo_vadis/results/robustness_balanced/{method}/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P2,50k balanced clean-train/perturbed-test,Sequence-representation robustness comparison is missing
RQ4,Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,API2Vec++ or Transformer,7,,pending,datasets_50k/zenodo_11079764/results/robustness_balanced/{method}/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P2,50k balanced clean-train/perturbed-test,Sequence-representation robustness comparison is missing
RQ4,Quo Vadis,insertion|deletion|local_reordering@10|20|30,R-GCN or GAT,7,,pending,datasets_50k/quo_vadis/results/robustness_balanced/{method}/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P2,50k balanced clean-train/perturbed-test,Graph-baseline robustness comparison is missing
RQ4,Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,R-GCN or GAT,7,,pending,datasets_50k/zenodo_11079764/results/robustness_balanced/{method}/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P2,50k balanced clean-train/perturbed-test,Graph-baseline robustness comparison is missing
RQ4,Quo Vadis | Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,w/o interleaving prior,7,,pending-prerequisite,datasets_50k/{dataset}/results/robustness_balanced/wo_interleaving_prior/{perturbation}_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P2,50k balanced clean-train/perturbed-test,Run only after a matched repaired final-model ablation checkpoint exists
RQ4,Quo Vadis | Zenodo 11079764,low_frequency_execution@10|20|30,EsCapturer-full | selected baselines,7,,pending-prerequisite,datasets_50k/{dataset}/results/robustness_balanced/{method}/low_frequency_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P3,50k balanced clean-train/perturbed-test,Requires a reliable malicious behavior-unit annotation or operational definition
RQ4,Quo Vadis | Zenodo 11079764,object_obfuscation@10|20|30,EsCapturer-full | selected baselines,7,,pending-prerequisite,datasets_50k/{dataset}/results/robustness_balanced/{method}/object_obfuscation_{intensity}/seed_7/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P3,50k balanced clean-train/perturbed-test,Current artifacts expose API names but no argument or object fields
RQ4,Quo Vadis | Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,all selected RQ4 methods,17/27,,pending,datasets_50k/{dataset}/results/robustness_balanced/{method}/{perturbation}_{intensity}/seed_{seed}/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P3,50k balanced clean-train/perturbed-test,Complete seed 7 first then report mean and sample standard deviation over seeds 7/17/27
RQ4,Quo Vadis | Zenodo 11079764,insertion|deletion|local_reordering@10|20|30,all selected RQ4 methods,7/17/27,,pending,datasets_50k/{dataset}/results/robustness_leakage_safe/{method}/{perturbation}_{intensity}/seed_{seed}/metrics.json,TODO: create or extend experiments/runners/run_rq4_robustness.py,P3,leakage-safe clean-train/perturbed-test,Extension after balanced-benchmark robustness is complete
